Employee_ID,Name,Working_Days,Target_Sales,Actual_Sales,Customer_Satisfaction_Score,Policy_Compliance,Low_Working_Days,Target_Not_Met,Low_Customer_Satisfaction,Non_Compliance_Reason,Month
1,Ahmed Tariq,21,14435,19470,2.3,No,False,False,True,Low Customer Satisfaction,March
2,Usman Iqbal,18,9998,9968,3.0,No,True,False,True,"Low Working Days, Low Customer Satisfaction",December
3,Fatima Khan,27,5162,11493,3.3,No,False,False,True,Low Customer Satisfaction,February
4,Zain Tariq,29,6974,8103,2.8,No,False,False,True,Low Customer Satisfaction,May
5,Ahmed Malik,25,8291,6076,3.7,No,False,True,True,"Target Not Met, Low Customer Satisfaction",February
6,Ali Chaudhry,22,13461,6994,2.2,No,False,True,True,"Target Not Met, Low Customer Satisfaction",April
7,Usman Raza,27,5631,7744,2.4,No,False,False,True,Low Customer Satisfaction,December
8,Fatima Chaudhry,19,5905,18466,4.1,No,True,False,False,Low Working Days,June
9,Bilal Javed,21,16663,18523,2.4,No,False,False,True,Low Customer Satisfaction,November
10,Zain Malik,24,16445,9594,3.9,No,False,True,True,"Target Not Met, Low Customer Satisfaction",June
11,Zain Malik,17,7014,11531,2.2,No,True,False,True,"Low Working Days, Low Customer Satisfaction",April
12,Fatima Khan,21,14833,11371,3.2,No,False,True,True,"Target Not Met, Low Customer Satisfaction",November
13,Sara Khan,25,12896,18547,2.5,No,False,False,True,Low Customer Satisfaction,February
14,Fatima Nadeem,25,5204,7144,2.3,No,False,False,True,Low Customer Satisfaction,October
15,Hassan Iqbal,22,5581,17990,3.7,No,False,False,True,Low Customer Satisfaction,July
16,Hassan Raza,19,10675,18083,4.8,No,True,False,False,Low Working Days,July
17,Zain Tariq,18,14032,20626,2.2,No,True,False,True,"Low Working Days, Low Customer Satisfaction",March
18,Zain Chaudhry,22,19124,11954,3.3,No,False,True,True,"Target Not Met, Low Customer Satisfaction",November
19,Sara Butt,22,10347,11269,4.1,Yes,False,False,False,,March
20,Usman Iqbal,17,14911,11130,3.4,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",January
21,Maira Butt,20,18930,10828,4.4,No,False,True,False,Target Not Met,July
22,Ahmed Iqbal,19,7643,12844,2.5,No,True,False,True,"Low Working Days, Low Customer Satisfaction",November
23,Aisha Malik,16,13017,18220,4.9,No,True,False,False,Low Working Days,July
24,Usman Chaudhry,22,7297,10331,3.2,No,False,False,True,Low Customer Satisfaction,December
25,Sara Raza,26,5874,17397,3.0,No,False,False,True,Low Customer Satisfaction,September
26,Aisha Chaudhry,28,10560,21883,4.6,Yes,False,False,False,,October
27,Aisha Javed,20,19531,14291,3.7,No,False,True,True,"Target Not Met, Low Customer Satisfaction",May
28,Ali Iqbal,16,5689,14164,3.5,No,True,False,True,"Low Working Days, Low Customer Satisfaction",December
29,Fatima Khan,30,9000,14450,4.2,Yes,False,False,False,,January
30,Ali Raza,26,19298,6035,3.7,No,False,True,True,"Target Not Met, Low Customer Satisfaction",January
31,Sara Butt,19,16333,15463,2.5,No,True,False,True,"Low Working Days, Low Customer Satisfaction",March
32,Zain Chaudhry,15,19974,11977,4.0,No,True,True,False,"Low Working Days, Target Not Met",October
33,Maira Chaudhry,26,14614,21241,2.4,No,False,False,True,Low Customer Satisfaction,March
34,Zain Raza,24,19289,16182,4.4,Yes,False,False,False,,March
35,Sara Iqbal,20,5671,4298,5.0,No,False,True,False,Target Not Met,May
36,Hassan Raza,27,12927,4923,3.1,No,False,True,True,"Target Not Met, Low Customer Satisfaction",May
37,Aisha Iqbal,26,6171,17331,3.3,No,False,False,True,Low Customer Satisfaction,September
38,Ahmed Tariq,23,10591,10578,2.1,No,False,False,True,Low Customer Satisfaction,July
39,Hassan Sheikh,15,16918,8875,2.0,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",November
40,Hassan Nadeem,25,14135,16254,4.8,Yes,False,False,False,,January
41,Sara Raza,25,11342,14905,2.4,No,False,False,True,Low Customer Satisfaction,June
42,Usman Javed,29,6449,17353,3.3,No,False,False,True,Low Customer Satisfaction,September
43,Aisha Raza,24,16929,19882,4.4,Yes,False,False,False,,July
44,Ali Butt,30,7539,13663,4.7,Yes,False,False,False,,July
45,Sara Chaudhry,26,8959,4941,3.6,No,False,True,True,"Target Not Met, Low Customer Satisfaction",January
46,Ali Javed,26,18183,5907,3.7,No,False,True,True,"Target Not Met, Low Customer Satisfaction",July
47,Ali Tariq,30,11285,8837,4.0,No,False,True,False,Target Not Met,June
48,Bilal Malik,29,10432,17680,4.9,Yes,False,False,False,,November
49,Bilal Raza,28,9260,21627,3.8,No,False,False,True,Low Customer Satisfaction,November
50,Usman Nadeem,28,7361,9696,3.7,No,False,False,True,Low Customer Satisfaction,September
51,Zain Iqbal,29,11164,20226,2.0,No,False,False,True,Low Customer Satisfaction,November
52,Sara Iqbal,28,18393,17543,2.2,No,False,False,True,Low Customer Satisfaction,June
53,Fatima Khan,17,16844,16615,3.7,No,True,False,True,"Low Working Days, Low Customer Satisfaction",August
54,Maira Raza,26,8670,5466,4.8,No,False,True,False,Target Not Met,October
55,Hassan Javed,21,6753,4375,4.6,No,False,True,False,Target Not Met,December
56,Hassan Khan,18,13100,4262,4.9,No,True,True,False,"Low Working Days, Target Not Met",February
57,Maira Khan,30,15544,15580,3.6,No,False,False,True,Low Customer Satisfaction,June
58,Aisha Tariq,23,6938,14136,4.4,Yes,False,False,False,,March
59,Ali Khan,17,13562,11833,4.5,No,True,False,False,Low Working Days,April
60,Usman Raza,19,10976,5893,3.9,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",March
61,Usman Sheikh,17,18140,12106,3.0,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",October
62,Bilal Butt,21,17671,15826,3.4,No,False,False,True,Low Customer Satisfaction,June
63,Usman Malik,19,15123,5652,4.6,No,True,True,False,"Low Working Days, Target Not Met",September
64,Hassan Iqbal,23,11588,4599,2.9,No,False,True,True,"Target Not Met, Low Customer Satisfaction",June
65,Fatima Chaudhry,21,13616,12792,4.8,Yes,False,False,False,,September
66,Zain Sheikh,16,11304,7637,2.7,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",March
67,Aisha Iqbal,18,12345,14355,4.2,No,True,False,False,Low Working Days,February
68,Maira Khan,23,17916,19989,3.9,No,False,False,True,Low Customer Satisfaction,July
69,Sara Khan,26,12875,13290,4.2,Yes,False,False,False,,February
70,Ali Sheikh,28,14086,9599,3.3,No,False,True,True,"Target Not Met, Low Customer Satisfaction",June
71,Aisha Chaudhry,16,11633,18342,4.8,No,True,False,False,Low Working Days,October
72,Aisha Iqbal,24,19662,17945,3.9,No,False,False,True,Low Customer Satisfaction,May
73,Fatima Tariq,23,5597,14762,2.9,No,False,False,True,Low Customer Satisfaction,June
74,Ali Tariq,24,8062,18312,3.9,No,False,False,True,Low Customer Satisfaction,February
75,Ali Khan,19,7336,11382,2.9,No,True,False,True,"Low Working Days, Low Customer Satisfaction",August
76,Zain Khan,16,17880,12982,2.9,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",October
77,Maira Tariq,18,14879,11707,3.2,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",May
78,Ali Malik,26,5572,21130,4.6,Yes,False,False,False,,May
79,Ahmed Malik,29,12521,8633,3.5,No,False,True,True,"Target Not Met, Low Customer Satisfaction",October
80,Usman Chaudhry,26,11171,21304,4.0,Yes,False,False,False,,April
81,Hassan Khan,21,12097,13269,3.2,No,False,False,True,Low Customer Satisfaction,March
82,Bilal Chaudhry,26,7090,17778,2.8,No,False,False,True,Low Customer Satisfaction,February
83,Bilal Raza,27,18992,11008,4.9,No,False,True,False,Target Not Met,August
84,Maira Raza,22,11566,19523,3.8,No,False,False,True,Low Customer Satisfaction,May
85,Aisha Chaudhry,29,16861,7618,4.8,No,False,True,False,Target Not Met,May
86,Bilal Javed,17,17464,4272,2.6,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",September
87,Ali Iqbal,28,9624,17007,2.4,No,False,False,True,Low Customer Satisfaction,December
88,Hassan Khan,15,6633,6547,4.6,No,True,False,False,Low Working Days,April
89,Hassan Javed,18,18253,7164,4.0,No,True,True,False,"Low Working Days, Target Not Met",November
90,Ali Nadeem,16,6517,18414,2.6,No,True,False,True,"Low Working Days, Low Customer Satisfaction",July
91,Aisha Malik,22,17485,18327,2.8,No,False,False,True,Low Customer Satisfaction,January
92,Zain Sheikh,18,15849,19576,4.4,No,True,False,False,Low Working Days,September
93,Ali Butt,16,8648,4946,3.4,No,True,True,True,"Low Working Days, Target Not Met, Low Customer Satisfaction",May
94,Aisha Iqbal,28,18140,18693,4.0,Yes,False,False,False,,March
95,Aisha Raza,20,16780,20890,3.0,No,False,False,True,Low Customer Satisfaction,July
96,Maira Javed,20,6537,19540,3.1,No,False,False,True,Low Customer Satisfaction,April
